employee_id,directorate,role,grade,comp_rate,strength_rate,cognitive_rate,behavior_rate,readiness_rate,final_match_rate
EMP101573,HR & Corp Affairs,Data Analyst,IV,100,100,100,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,100,100,100,100,100,100
EMP101103,Technology,Sales Supervisor,V,100,100,100,100,87.5,99
EMP101792,HR & Corp Affairs,Finance Officer,V,100,100,100,86.67,100,98.67
EMP100962,HR & Corp Affairs,Sales Supervisor,V,100,100,100,91.67,88.46,98.24
EMP100803,Technology,Sales Supervisor,IV,100,100,100,80,100,98
EMP101286,Technology,Data Analyst,V,100,100,79.35,100,100,97.93
EMP100761,Commercial,Finance Officer,IV,100,100,94.26,83.33,100,97.76
EMP101684,Technology,Brand Executive,IV,96,100,100,100,100,97.72
EMP100758,HR & Corp Affairs,Finance Officer,V,96,100,100,100,100,97.72
EMP100785,Technology,Data Analyst,IV,96,100,100,100,100,97.72
EMP101225,Technology,HRBP,IV,96,100,100,100,100,97.72
EMP100605,HR & Corp Affairs,Brand Executive,V,100,100,100,75,100,97.5
EMP101343,HR & Corp Affairs,Finance Officer,IV,100,100,100,100,68.27,97.46
EMP100319,Technology,Sales Supervisor,IV,96,100,100,93.33,100,97.05
EMP100465,Technology,Sales Supervisor,IV,100,100,100,73.33,96.15,97.03
EMP100836,Commercial,Brand Executive,V,100,100,100,66.67,100,96.67
EMP100208,Technology,Brand Executive,IV,100,100,100,66.67,100,96.67
EMP100548,Commercial,Data Analyst,IV,100,100,96.56,66.67,100,96.32
EMP101599,Technology,Brand Executive,V,95,100,100,91.67,100,96.32
EMP100750,HR & Corp Affairs,Data Analyst,V,100,100,100,75,84.62,96.27
EMP101718,HR & Corp Affairs,HRBP,IV,100,100,93.69,86.67,76.92,96.19
EMP100010,HR & Corp Affairs,HRBP,V,100,100,86.23,93.33,77.88,96.19
EMP101451,Commercial,Brand Executive,III,100,100,100,100,50,96
EMP100050,Technology,HRBP,III,100,100,100,100,50,96
EMP100103,Technology,Data Analyst,IV,100,100,100,75,80.77,95.96
EMP100881,HR & Corp Affairs,Sales Supervisor,V,100,100,100,83.33,69.23,95.87
EMP100727,Technology,Finance Officer,IV,100,100,83.37,83.33,89.42,95.82
EMP100512,Technology,Data Analyst,V,100,100,84.51,71.67,100,95.62
EMP100229,Technology,Supply Planner,V,100,100,94.84,83.33,71.15,95.51
EMP101547,Commercial,Sales Supervisor,IV,100,100,100,83.33,61.54,95.26
EMP100649,HR & Corp Affairs,Brand Executive,IV,100,100,88.53,66.67,96.15,95.21
EMP101828,HR & Corp Affairs,Sales Supervisor,V,96,100,74.57,100,100,95.18
EMP100231,Commercial,Brand Executive,IV,96,100,100,100,66.35,95.03
EMP101234,Technology,Finance Officer,IV,100,100,100,48.33,100,94.83
EMP101787,Technology,Finance Officer,IV,100,100,100,58.33,85.58,94.68
EMP101550,HR & Corp Affairs,Finance Officer,V,100,100,81.5,65,100,94.65
EMP101525,HR & Corp Affairs,Finance Officer,IV,92,100,100,91.67,100,94.61
EMP101603,HR & Corp Affairs,Finance Officer,V,92,100,90.82,100,100,94.52
EMP100896,HR & Corp Affairs,Data Analyst,V,96,100,85.66,80,99.04,94.21
EMP101858,Commercial,Supply Planner,V,96,100,100,100,54.81,94.1
EMP100574,Commercial,Data Analyst,V,91,100,90.25,100,100,93.89
EMP101479,Technology,Finance Officer,V,100,100,71.89,100,58.65,93.88
EMP101203,HR & Corp Affairs,Sales Supervisor,V,96,100,60.99,100,100,93.82
EMP100362,Technology,Brand Executive,V,96,100,94.41,80,80.77,93.62
EMP100426,Technology,Brand Executive,III,100,100,77.44,100,48.08,93.59
EMP100554,Technology,HRBP,V,92,100,81.26,100,100,93.57
EMP101570,Commercial,Sales Supervisor,V,96,100,100,58.33,100,93.55
EMP100713,Commercial,Sales Supervisor,III,96,100,98.28,100,49.04,93.47
EMP100926,Technology,Sales Supervisor,V,100,100,97.71,33.33,100,93.1
