employee_id,directorate,role,grade,tgv_name,tv_name,baseline_score,user_score,tv_match_rate,tgv_match_rate,final_match_rate
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Behavior,PAPI_I,0.5,0.75,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Behavior,PAPI_I,0.5,0.75,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Behavior,PAPI_P,0.63,1,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Behavior,PAPI_P,0.63,1,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Behavior,PAPI_W,0.5,0.88,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Behavior,PAPI_W,0.5,0.88,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Cognitive,Cognitive_Index,0.6,0.79,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Cognitive,Cognitive_Index,0.6,0.79,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Competency,CEX,0.05,0.05,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Competency,CEX,0.05,0.05,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Competency,CSI,0.04,0.04,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Competency,CSI,0.04,0.04,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Competency,IDS,0.05,NULL,NULL,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Competency,IDS,0.05,NULL,NULL,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Competency,SEA,0.05,0.05,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Competency,SEA,0.05,0.05,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Competency,VCU,0.05,0.05,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Competency,VCU,0.05,0.05,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Readiness,Grade,0.5,0.5,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Readiness,Grade,0.5,0.5,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Readiness,Tenure_Years,0.35,0.36,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Readiness,Tenure_Years,0.35,0.36,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Strength DNA,Strength_Match,1,1,100,100,100
EMP100639,HR & Corp Affairs,Sales Supervisor,IV,Strength DNA,Strength_Match,1,1,100,100,100
EMP101573,HR & Corp Affairs,Data Analyst,IV,Behavior,PAPI_I,0.5,1,100,100,100
EMP101573,HR & Corp Affairs,Data Analyst,IV,Behavior,PAPI_I,0.5,1,100,100,100
EMP101573,HR & Corp Affairs,Data Analyst,IV,Behavior,PAPI_P,0.63,0.88,100,100,100
EMP101573,HR & Corp Affairs,Data Analyst,IV,Behavior,PAPI_P,0.63,0.88,100,100,100
